image,split,cr,actual_cr,sigma,seed,method,stage,psnr,ssim
camera,test,0.1,0.1001129150390625,0.01,2028,admm,3,30.476344803349743,0.8469675266377069
camera,test,0.1,0.1001129150390625,0.01,2028,admm,4,30.746917790184312,0.8516650404010638
camera,test,0.1,0.1001129150390625,0.01,2028,admm,5,31.003319554288687,0.8569343896297514
camera,test,0.1,0.1001129150390625,0.01,2028,admm,6,31.236224972444248,0.8668498621343076
camera,test,0.1,0.1001129150390625,0.05,2026,hqs,1,25.7645617378816,0.6050561627785116
camera,test,0.1,0.1001129150390625,0.05,2026,hqs,2,27.01880745153425,0.6683514447277319
camera,test,0.1,0.1001129150390625,0.05,2026,hqs,3,27.1773843819502,0.6519330512191482
camera,test,0.1,0.1001129150390625,0.05,2026,hqs,4,27.447643289539222,0.6679347095261123
camera,test,0.1,0.1001129150390625,0.05,2026,hqs,5,27.400240115090526,0.6619410535134506
camera,test,0.1,0.1001129150390625,0.05,2026,hqs,6,26.98598901718878,0.6295769639926814
camera,test,0.1,0.1001129150390625,0.05,2026,admm,1,25.674384619821883,0.5980971611090088
camera,test,0.1,0.1001129150390625,0.05,2026,admm,2,26.823792229739635,0.6371316561788023
camera,test,0.1,0.1001129150390625,0.05,2026,admm,3,26.6741344452165,0.6119914322270401
camera,test,0.1,0.1001129150390625,0.05,2026,admm,4,26.641823522637942,0.6081037368336022
camera,test,0.1,0.1001129150390625,0.05,2026,admm,5,26.560640345624833,0.5982128142095059
camera,test,0.1,0.1001129150390625,0.05,2026,admm,6,27.137120617257523,0.6416754485214278
camera,test,0.1,0.1001129150390625,0.05,2027,hqs,1,25.872146648150864,0.606345022656397
camera,test,0.1,0.1001129150390625,0.05,2027,hqs,2,27.148436237926102,0.6731058331013023
camera,test,0.1,0.1001129150390625,0.05,2027,hqs,3,27.182294923717865,0.6501740112459696
camera,test,0.1,0.1001129150390625,0.05,2027,hqs,4,27.43872298920868,0.6684963385617807
camera,test,0.1,0.1001129150390625,0.05,2027,hqs,5,27.396205254827557,0.6601704574427083
camera,test,0.1,0.1001129150390625,0.05,2027,hqs,6,27.031391334878453,0.6291234796532914
camera,test,0.1,0.1001129150390625,0.05,2027,admm,1,25.783931878590337,0.6018630245720629
camera,test,0.1,0.1001129150390625,0.05,2027,admm,2,26.938304357468517,0.6418925824755057
camera,test,0.1,0.1001129150390625,0.05,2027,admm,3,26.577210417442444,0.6054684494828004
camera,test,0.1,0.1001129150390625,0.05,2027,admm,4,26.593143349271557,0.606884439737372
camera,test,0.1,0.1001129150390625,0.05,2027,admm,5,26.5964190021635,0.6000077350767208
camera,test,0.1,0.1001129150390625,0.05,2027,admm,6,27.160815640713643,0.6380528756201417
camera,test,0.1,0.1001129150390625,0.05,2028,hqs,1,25.892223802562544,0.6074268449878795
camera,test,0.1,0.1001129150390625,0.05,2028,hqs,2,27.13977677805314,0.6713679797324883
camera,test,0.1,0.1001129150390625,0.05,2028,hqs,3,27.157871475006715,0.6494344026922043
camera,test,0.1,0.1001129150390625,0.05,2028,hqs,4,27.387883978624203,0.6670833624604232
