image,split,cr,actual_cr,sigma,seed,method,psnr,ssim,seconds,relative_residual
coins,test,0.1,0.1001129150390625,0.05,2027,hqs,27.842109515262234,0.7646999003695547,2.428689167005359,0.002521723974496126
coins,test,0.1,0.1001129150390625,0.05,2027,admm,27.89463965020807,0.7733665617603361,2.5073899580020225,0.0034993160516023636
coins,test,0.1,0.1001129150390625,0.05,2028,adjoint,23.48646486529976,0.5222442100812256,2.2332998923957348e-05,0.0029161355923861265
coins,test,0.1,0.1001129150390625,0.05,2028,fista_dct,24.219291884031403,0.5596846043716206,0.2030892920010956,0.0015226513979996286
coins,test,0.1,0.1001129150390625,0.05,2028,hqs,27.76967584596765,0.7600242981895209,2.481791540994891,0.0024067889899015427
coins,test,0.1,0.1001129150390625,0.05,2028,admm,27.888521563693487,0.7726798071914017,2.6476824580022367,0.00429981155321002
moon,test,0.01,0.01031494140625,0.0,2026,adjoint,30.48954585653391,0.7238372005057978,1.1708005331456661e-05,0.0018420109990984201
moon,test,0.01,0.01031494140625,0.0,2026,fista_dct,31.209561982503324,0.7995320640886929,0.1880532080103876,0.0002735666630462284
moon,test,0.01,0.01031494140625,0.0,2026,hqs,33.7973973730574,0.8659607809790373,2.62818275000609,0.0016268331091850996
moon,test,0.01,0.01031494140625,0.0,2026,admm,33.74087728321663,0.8650524023012706,2.7626782080042176,0.0035087941214442253
moon,test,0.04,0.041259765625,0.0,2026,adjoint,32.61337525944675,0.7641799628641307,1.7292011762037873e-05,0.0024723540991544724
moon,test,0.04,0.041259765625,0.0,2026,fista_dct,33.88376140209016,0.8274227022097707,0.19695158299873583,0.0006653829489465919
moon,test,0.04,0.041259765625,0.0,2026,hqs,37.07929045355231,0.9067736547846794,2.7254811250022613,0.001000055461190641
moon,test,0.04,0.041259765625,0.0,2026,admm,37.21013806468656,0.9071935584914684,2.8621149160026107,0.002611063187941909
moon,test,0.1,0.1001129150390625,0.0,2026,adjoint,34.16900727916061,0.8049490009675025,2.083300205413252e-05,0.0030059078708291054
moon,test,0.1,0.1001129150390625,0.0,2026,fista_dct,35.68439854986877,0.8632142456889152,0.20257829201000277,0.0008935770795709656
moon,test,0.1,0.1001129150390625,0.0,2026,hqs,39.45608565591775,0.9361538516302109,2.757329291998758,0.000611115712672472
moon,test,0.1,0.1001129150390625,0.0,2026,admm,39.46020784394412,0.935755069685936,2.9310425000003306,0.0017945150611922145
moon,test,0.25,0.25,0.0,2026,adjoint,36.57840443295653,0.867461001812458,2.750000567175448e-05,0.003788391361013055
moon,test,0.25,0.25,0.0,2026,fista_dct,38.43731262051233,0.9164211821069718,0.2108819170098286,0.0014350801548516175
moon,test,0.25,0.25,0.0,2026,hqs,42.300241435356924,0.9629076020460129,2.8084383749956032,0.0004883238580077887
moon,test,0.25,0.25,0.0,2026,admm,42.28757483947738,0.9626028492517471,3.0248221249930793,0.0015326698776334524
moon,test,0.5,0.4998931884765625,0.0,2026,adjoint,39.17481325225312,0.9171980987672805,4.679099947679788e-05,0.004940852522850037
moon,test,0.5,0.4998931884765625,0.0,2026,fista_dct,41.47748260922719,0.9543353244838715,0.22799891700560693,0.0017782909971063388
moon,test,0.5,0.4998931884765625,0.0,2026,hqs,45.915704920040845,0.9823251320276261,2.9145436659891857,0.0004951053997501731
moon,test,0.5,0.4998931884765625,0.0,2026,admm,45.91496013670962,0.9821899121789932,2.919437457996537,0.001225510612130165
moon,test,0.1,0.1001129150390625,0.01,2026,adjoint,33.95438714228082,0.7950761747450829,2.9000002541579306e-05,0.003005960490554571
moon,test,0.1,0.1001129150390625,0.01,2026,fista_dct,35.146474099750876,0.8422660116391182,0.211143082997296,0.0009090732699629544
moon,test,0.1,0.1001129150390625,0.01,2026,hqs,38.20811108805773,0.9181099665904046,2.8505967919918476,0.0005091459606774151
moon,test,0.1,0.1001129150390625,0.01,2026,admm,38.378608735588244,0.9218370792527198,2.9475095419911668,0.002166471444070339
moon,test,0.1,0.1001129150390625,0.01,2027,adjoint,33.95703292474038,0.7953972357406616,2.2666004952043295e-05,0.003006062703207135
moon,test,0.1,0.1001129150390625,0.01,2027,fista_dct,35.19511761671091,0.8437123109145165,0.21344433299964294,0.000913385194044264
moon,test,0.1,0.1001129150390625,0.01,2027,hqs,38.22808653939311,0.9188895098028182,2.9918902499921387,0.0005173975951038301
moon,test,0.1,0.1001129150390625,0.01,2027,admm,38.31179209716338,0.9219409738206863,3.0689790830074344,0.002216700930148363
moon,test,0.1,0.1001129150390625,0.01,2028,adjoint,33.95328389526444,0.7948977853808403,2.170799416489899e-05,0.0030061022844165564
moon,test,0.1,0.1001129150390625,0.01,2028,fista_dct,35.18461928259785,0.8431237204766273,0.20572954199451488,0.0008968168034887157
moon,test,0.1,0.1001129150390625,0.01,2028,hqs,38.12513280482171,0.9169518044056892,2.887529249986983,0.00048122176667675376
moon,test,0.1,0.1001129150390625,0.01,2028,admm,38.26646572167211,0.9206929448776245,3.0065564999968046,0.0022065737284719944
moon,test,0.1,0.1001129150390625,0.05,2026,adjoint,30.610757632350722,0.6207356868705749,2.12500017369166e-05,0.0030153754632920027
moon,test,0.1,0.1001129150390625,0.05,2026,fista_dct,29.648244374748476,0.5642212494783029,0.21020025000325404,0.0013156430745659227
moon,test,0.1,0.1001129150390625,0.05,2026,hqs,31.44028281874075,0.6804477740139961,2.8431198339967523,0.0007295548566617072
moon,test,0.1,0.1001129150390625,0.05,2026,admm,31.828283148459825,0.7001261873040199,3.0389854579989333,0.002561619970947504
moon,test,0.1,0.1001129150390625,0.05,2027,adjoint,30.634946910725528,0.6240609932864308,2.404100087005645e-05,0.003009436186403036
moon,test,0.1,0.1001129150390625,0.05,2027,fista_dct,29.728729145026733,0.5712712104985714,0.20934108400251716,0.0012673612963002476
moon,test,0.1,0.1001129150390625,0.05,2027,hqs,31.420534495874662,0.6821995859373808,3.00670062500285,0.0005445459391921759
moon,test,0.1,0.1001129150390625,0.05,2027,admm,31.77786679207378,0.7017432494783401,3.0765603329928126,0.0020412886515259743
moon,test,0.1,0.1001129150390625,0.05,2028,adjoint,30.590533554463775,0.6191915709176063,2.108400803990662e-05,0.0030079686548560858
moon,test,0.1,0.1001129150390625,0.05,2028,fista_dct,29.705217292597577,0.5689331469174623,0.21362791700812522,0.0012288277319086203
moon,test,0.1,0.1001129150390625,0.05,2028,hqs,31.338952917729195,0.6754517799911499,2.943746958000702,0.000572764896787703
moon,test,0.1,0.1001129150390625,0.05,2028,admm,31.79627520669879,0.7009597097284794,3.048937917003059,0.002841600216925144
page,test,0.01,0.01031494140625,0.0,2026,adjoint,19.304481297006614,0.3628318481012173,1.2083008186891675e-05,0.0018050875514745712
page,test,0.01,0.01031494140625,0.0,2026,fista_dct,19.60561583539373,0.49498380277239323,0.19474720799189527,0.00018511591571601435
page,test,0.01,0.01031494140625,0.0,2026,hqs,20.142640889719452,0.5984150396851899,2.955897250009002,0.0031696720980107784
page,test,0.01,0.01031494140625,0.0,2026,admm,20.17949136566228,0.6020330806553769,3.060949457998504,0.004859544336795807
page,test,0.04,0.041259765625,0.0,2026,adjoint,20.168330847081386,0.42300296652038877,1.708300260361284e-05,0.0025181162636727095
page,test,0.04,0.041259765625,0.0,2026,fista_dct,20.18544518502651,0.444617460364812,0.2067478340031812,0.001200243385414752
page,test,0.04,0.041259765625,0.0,2026,hqs,21.496388170549224,0.7239584351517083,2.8672588749905117,0.0028230997268110514
page,test,0.04,0.041259765625,0.0,2026,admm,21.468497132475544,0.7231978710974449,3.1394792089995462,0.00444848882034421
page,test,0.1,0.1001129150390625,0.0,2026,adjoint,21.144132505040684,0.4978133509356391,2.4334003683179617e-05,0.0032075413037091494
page,test,0.1,0.1001129150390625,0.0,2026,fista_dct,20.950404038228278,0.4808334951063143,0.21264958300162107,0.002367021807999292
page,test,0.1,0.1001129150390625,0.0,2026,hqs,24.021498209492908,0.8531640791913188,2.9294533750071423,0.0037914905697107315
